Experiment	Run	SortedStrain	ProjectID	TaxID	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id		Sample	BioSample	SampleType		ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
ERX4597139	DRR084293	SH1000 (NCTC8325 der.)	669785	1280	2019-01-18 13:27:39	2019-01-18 13:32:49	24628208	886615488	0	36	602		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084293/DRR084293.sralite.1	35_plntF-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086093	SAMD00073707	simple		Staphylococcus aureus	SAMD00073707							no					UT_GSPS	DRA005494		public	108BF0604F6FAE585E0D152037CAC29C	51FE93001AE844B1CB3F2A629458F3C0		
ERX4597140	DRR084294	SH1000 (NCTC8325 der.)	669785	1280	2019-01-18 13:27:39	2019-01-18 13:36:14	22823313	821639268	0	36	563		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084294/DRR084294.sralite.1	36_pND50-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086094	SAMD00073708	simple		Staphylococcus aureus	SAMD00073708							no					UT_GSPS	DRA005494		public	1471E7474F6FAA92331CDCDEAC9F9514	534B9398FCE91DE9024871B2019D2667		
ERX4651385	DRR084295	SH1000 (NCTC8325 der.)	849083	1280	2019-01-18 13:27:39	2019-01-18 13:36:32	18774774	675891864	0	36	464		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084295/DRR084295.sralite.1	37_pF-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086095	SAMD00073709	simple		Staphylococcus aureus	SAMD00073709							no					UT_GSPS	DRA005494		public	DD379B41B1F0C752F49CB67636E96729	82239D3BC328965A100D0EA2909B7EA9		
ERX4651386	DRR084296	SH1000 (NCTC8325 der.)	849083	1280	2019-01-18 13:27:39	2019-01-18 13:38:08	19668841	708078276	0	36	480		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084296/DRR084296.sralite.1	38_pC1-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086096	SAMD00073710	simple		Staphylococcus aureus	SAMD00073710							no					UT_GSPS	DRA005494		public	9E2476EDA4BB47E1644A14D910370662	374DDBC54F94D521C0D87BA602AFD18B		
ERX4651387	DRR084297	SH1000 (NCTC8325 der.)	849083	1280	2019-01-18 13:27:39	2019-01-18 13:35:48	27531360	991128960	0	36	679		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084297/DRR084297.sralite.1	39_pM1-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086097	SAMD00073711	simple		Staphylococcus aureus	SAMD00073711							no					UT_GSPS	DRA005494		public	B615F9E518311483D2707C9C53A8F2EC	F2864E6691F25E79761342970C58B415		
ERX4663691	DRR084298	SH1000 (NCTC8325 der.)	675268	1280	2019-01-18 13:27:39	2019-01-18 13:37:45	20055772	722007792	0	36	495		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084298/DRR084298.sralite.1	40_NI-13-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086098	SAMD00073712	simple		Staphylococcus aureus	SAMD00073712							no					UT_GSPS	DRA005494		public	4C0F98BD6C786776AE41F12AF3559A80	2CB10AC1BFD8323C14969A0201CF9FC7		
ERX4663692	DRR084299	SH1000 (NCTC8325 der.)	675268	1280	2019-01-18 13:27:39	2019-01-18 13:37:24	30660836	1103790096	0	36	814		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084299/DRR084299.sralite.1	41_NI13D-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086099	SAMD00073713	simple		Staphylococcus aureus	SAMD00073713							no					UT_GSPS	DRA005494		public	D03F313BDD5EFF7A5C713BE53618580E	37DF0F53B5F01FD078183CEC228F49DE		
ERX5310346	DRR084300	SH1000 (NCTC8325 der.)	675268	1280	2019-01-18 13:27:39	2019-01-18 13:34:44	16400275	590409900	0	36	435		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084300/DRR084300.sralite.1	42_SR-1-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086100	SAMD00073714	simple		Staphylococcus aureus	SAMD00073714							no					UT_GSPS	DRA005494		public	CCB562021E0B33B4352E9F734EA1F477	B306DF11B2EF72150B7E0F5433C30271		
ERX5311170	DRR084301	SH1000 (NCTC8325 der.)	724485	1280	2019-01-18 13:27:39	2019-01-18 13:37:44	15362524	553050864	0	36	407		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084301/DRR084301.sralite.1	43_SR-1D-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086101	SAMD00073715	simple		Staphylococcus aureus	SAMD00073715							no					UT_GSPS	DRA005494		public	762D6B4E4C0C3D9C61BF8B36DD9B27FE	7B317F6CB93FD5443971944BEDFFCD19		
ERX5311171	DRR084302	SH1000 (NCTC8325 der.)	724485	1280	2019-01-18 13:27:39	2019-01-18 13:35:11	31332128	1127956608	0	36	833		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084302/DRR084302.sralite.1	44_NI-13-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086102	SAMD00073716	simple		Staphylococcus aureus	SAMD00073716							no					UT_GSPS	DRA005494		public	B803B99C64FD8FF34EC6418E91043B2D	0DB9ADA17EB6518D9E00A15FE1A89FEE		
ERX5311172	DRR084303	SH1000 (NCTC8325 der.)	724485	1280	2019-01-18 13:27:39	2019-01-18 13:38:11	15647747	563318892	0	36	415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084303/DRR084303.sralite.1	45_NI-13D-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086103	SAMD00073717	simple		Staphylococcus aureus	SAMD00073717							no					UT_GSPS	DRA005494		public	DF97D68D95858904324B03C0CD7D3178	57FFF91472E2FF76A30062FFC83E60CE		
ERX7722950	DRR084304	HG003 (NCTC8325 der.)	815579	1280	2019-01-18 13:27:39	2019-01-18 13:38:25	14501556	522056016	0	36	384		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084304/DRR084304.sralite.1	46_SR-1-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086104	SAMD00073718	simple		Staphylococcus aureus	SAMD00073718							no					UT_GSPS	DRA005494		public	8F98F149C393DE68B2D3802845682753	27D88AF7C0EDC388DC20171CF6E853C7		
ERX7722951	DRR084305	HG003 (NCTC8325 der.)	815579	1280	2019-01-18 13:27:39	2019-01-18 13:37:07	40826096	1469739456	0	36	1078		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084305/DRR084305.sralite.1	47_SR-1D-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086105	SAMD00073719	simple		Staphylococcus aureus	SAMD00073719							no					UT_GSPS	DRA005494		public	BA20CBE9AF49A32EFA5F32F1AD655C8A	2081E2D986A8AD1B96E2D747D6A3D7A3		
ERX7722952	DRR084306	HG003 (NCTC8325 der.)	815579	1280	2019-01-18 13:27:39	2019-01-18 13:37:51	15850262	570609432	0	36	422		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084306/DRR084306.sralite.1	48_NI-13-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086106	SAMD00073720	simple		Staphylococcus aureus	SAMD00073720							no					UT_GSPS	DRA005494		public	3233CB68CC832289BD13A41771A8BACA	71039E06BC8A7A0458D5E561CD633C57		
ERX7722953	DRR084307	HG003 (NCTC8325 der.)	815579	1280	2019-01-18 13:27:39	2019-01-18 13:36:05	21197392	763106112	0	36	564		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084307/DRR084307.sralite.1	49_NI-13D-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086107	SAMD00073721	simple		Staphylococcus aureus	SAMD00073721							no					UT_GSPS	DRA005494		public	C52075C1703EC5E61008A8F2213AD9A6	E48CB38E75930DEF8C869FCDC8348178		
ERX7722954	DRR084308	HG003 (NCTC8325 der.)	815579	1280	2019-01-18 13:27:39	2019-01-18 13:35:04	18542846	667542456	0	36	492		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084308/DRR084308.sralite.1	50_SR-1-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086108	SAMD00073722	simple		Staphylococcus aureus	SAMD00073722							no					UT_GSPS	DRA005494		public	F5C097EF7997F9D904857C9BB84C9518	ACE834246ED1F934F7796DA5DE0F5756		
ERX7722955	DRR084309	HG003 (NCTC8325 der.)	815579	1280	2019-01-18 13:27:39	2019-01-18 13:37:32	21764701	783529236	0	36	577		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084309/DRR084309.sralite.1	51_SR-1D-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480			DRS086109	SAMD00073723	simple		Staphylococcus aureus	SAMD00073723							no					UT_GSPS	DRA005494		public	84BF46AF9DCA533765271E96840C0A89	CE8B4361E663304776FAAE184728A190		
SRX10063114	DRR170692	HG003 (NCTC8325 der.)	701059	1280	2019-03-27 16:57:46	2019-06-14 6:23:10	16468893	2486802843	0	151	947		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/170/DRR170692.sralite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP004927	PRJDB8056	3		DRS091762	SAMD00164374	simple		Staphylococcus aureus	SAMD00164374							no					NIID	DRA008118		public	722A3164BDBAF45C6ACA6500BB1DDA7A	53781DEF32DEF346C852CA58639012D2		
SRX10063115	DRR170696	HG003 (NCTC8325 der.)	701059	1280	2019-03-27 16:57:46	2019-06-14 6:21:38	11750603	1774341053	0	151	683		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/170/DRR170696.sralite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP004927	PRJDB8056	3		DRS091764	SAMD00164376	simple		Staphylococcus aureus	SAMD00164376							no					NIID	DRA008118		public	96F5972602B042603D0E1DD595FF98F1	1E085C751563C22C4A1CF0AC99001BE9		
SRX10063116	DRR170700	HG003 (NCTC8325 der.)	701059	1280	2019-03-27 16:57:47	2019-06-14 8:01:57	23306305	3519252055	0	151	1348		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/170/DRR170700.sralite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP004927	PRJDB8056	3		DRS091766	SAMD00164378	simple		Staphylococcus aureus	SAMD00164378							no					NIID	DRA008118		public	C7F2C30315B3A51EABC1D877E2F09143	2FAD12522A7B57D8DBEB74A08ACD44B7		
SRX10063117	DRR213598	HG003 (NCTC8325 der.)	701059	1280	2020-03-04 16:51:26	2020-03-04 16:52:10	488901	277565517	488901	567	141		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/213/DRR213598.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125392	SAMD00207996	simple		Staphylococcus aureus	SAMD00207996							no					JICHI_MED	DRA009727		public	51895A817AF08EF90B3D6658F6406C0F	7F7BB97DC33CC5D61E006772FADBEB4F		
SRX10063118	DRR213599	HG003 (NCTC8325 der.)	701059	1280	2020-03-04 16:51:26	2020-03-04 16:52:03	607266	351764165	607266	579	188		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/213/DRR213599.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125393	SAMD00207997	simple		Staphylococcus aureus	SAMD00207997							no					JICHI_MED	DRA009727		public	23C6AEBF1606D671EC8B5BC6B18E8FD9	6237B1F1FD138854E5296C4B08DCF70B		
SRX10063119	DRR213600	HG003 (NCTC8325 der.)	701059	1280	2020-03-04 16:51:26	2020-03-04 16:51:55	470819	268427001	470819	570	138		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/213/DRR213600.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125394	SAMD00207998	simple		Staphylococcus aureus	SAMD00207998							no					JICHI_MED	DRA009727		public	768492246FA247CE320A8EBAC1F0E2B9	4A9A7B412318BB31BDE9EA37F7791734		
SRX10828555	DRR213601	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:52:06	327708	190726437	327708	582	103		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/213/DRR213601.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125395	SAMD00207999	simple		Staphylococcus aureus	SAMD00207999							no					JICHI_MED	DRA009727		public	431E6A2BF1432519F4B0D609FEACD112	BF5BF7DB64A5135B6EC0573D12BEFAC1		
SRX10828556	DRR213602	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:51:56	666097	362284392	666097	543	177		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/213/DRR213602.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125396	SAMD00208000	simple		Staphylococcus aureus	SAMD00208000							no					JICHI_MED	DRA009727		public	B8DF08BB8BB5359ABD6515ED631D8E08	62135C1FC6818993139C86C9FFFC1062		
SRX10828557	DRR213603	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:52:11	947461	519865954	947461	548	257		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/213/DRR213603.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125397	SAMD00208001	simple		Staphylococcus aureus	SAMD00208001							no					JICHI_MED	DRA009727		public	0C4283C6A14FA5304A6CA68D3304C9DC	54D0D9E55C4A5CCF9767162B443FFA4D		
SRX10828558	DRR213604	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:52:07	702529	395366286	702529	562	198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/213/DRR213604.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125398	SAMD00208002	simple		Staphylococcus aureus	SAMD00208002							no					JICHI_MED	DRA009727		public	60ABA2ACF8ADCFC1CE7658ECCC9AF97C	A488842E7F2FCF23B50BF0C595051018		
SRX10828559	DRR213605	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:52:09	565415	316273997	565415	559	162		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/213/DRR213605.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125399	SAMD00208003	simple		Staphylococcus aureus	SAMD00208003							no					JICHI_MED	DRA009727		public	965BD9ED0A30B28CF6C0C517BF6AF669	DB55D8B8EAD3E573A990159F6BA7949A		
SRX10828560	DRR213606	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:51:58	430776	251196691	430776	583	135		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/213/DRR213606.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125400	SAMD00208004	simple		Staphylococcus aureus	SAMD00208004							no					JICHI_MED	DRA009727		public	6F606D857B50FC564F7345235D6309BE	6EB25AD9537C3488046F19622B3BF1CF		
SRX10828561	DRR213607	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:52:09	324091	186163805	324091	574	98		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/213/DRR213607.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125401	SAMD00208005	simple		Staphylococcus aureus	SAMD00208005							no					JICHI_MED	DRA009727		public	8B882EEFC04E478290F14B001A091B51	57BA3E30424C0E330200C428148272AC		
SRX10828562	DRR213608	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:52:09	521635	295304965	521635	566	148		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/213/DRR213608.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125402	SAMD00208006	simple		Staphylococcus aureus	SAMD00208006							no					JICHI_MED	DRA009727		public	0928272A99F3C1B0846ADE85DCF9CF46	4F0AA784417C31F705114EACCF62D361		
SRX10828563	DRR213609	HG003 (NCTC8325 der.)	728655	1280	2020-03-04 16:51:26	2020-03-04 16:52:04	1237378	692767074	1237378	559	341		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/213/DRR213609.sralite.1	Tanit/Watanabe	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	1000	0	ILLUMINA	Illumina MiSeq	DRP005884	PRJDB9388			DRS125403	SAMD00208007	simple		Staphylococcus aureus	SAMD00208007							no					JICHI_MED	DRA009727		public	D25511451AE1D1BEB50F5DAF83E9451D	76387848A92FAC4FC2F41881040EE4F3		
SRX10828564	DRR225251	HG003 (NCTC8325 der.)	728655	1280	2020-05-11 5:38:08	2020-05-11 6:12:15	22964980	4638925960	22964980	202	1742		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/225/DRR225251.sralite.1		RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006081	PRJDB9767			DRS138491	SAMD00222793	simple		Staphylococcus aureus	SAMD00222793							no					JUNTENDO	DRA010120		public	CD5FCEC1B64C4D93FC5A86D2884BACA5	B0ACC360F9C1B941F2083A1E74CD67F9		
SRX10828565	DRR225252	HG003 (NCTC8325 der.)	728655	1280	2020-05-11 5:38:08	2020-05-11 6:12:27	22897817	4625359034	22897817	202	1756		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/225/DRR225252.sralite.1		RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006081	PRJDB9767			DRS138492	SAMD00222794	simple		Staphylococcus aureus	SAMD00222794							no					JUNTENDO	DRA010120		public	717D1C47DD318EFFABFAB1E47413D42F	61EBAA60B3ABEFF814AE4186D62B5163		
SRX10828566	DRR225253	HG003 (NCTC8325 der.)	728655	1280	2020-05-11 5:38:08	2020-05-11 6:16:17	22837810	4613237620	22837810	202	1688		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/225/DRR225253.sralite.1		RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006081	PRJDB9767			DRS138493	SAMD00222795	simple		Staphylococcus aureus	SAMD00222795							no					JUNTENDO	DRA010120		public	053B9017B74B6B385F7E5FA599F2F0E5	C997A454D53CD098A09C5831197A6B83		
SRX12529174	DRR225254	RN4220 (NCTC 8325 der.)	769698	1280	2020-05-11 5:38:08	2020-05-11 6:11:49	21457184	4334351168	21457184	202	1597		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/225/DRR225254.sralite.1		RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006081	PRJDB9767			DRS138494	SAMD00222796	simple		Staphylococcus aureus	SAMD00222796							no					JUNTENDO	DRA010120		public	A514408D3E1D6360851B1A27DC868802	340DD8A47A83528141B0253514B8C6AD		
SRX12529175	DRR225255	RN4220 (NCTC 8325 der.)	769698	1280	2020-05-11 5:38:08	2020-05-11 6:12:08	22323147	4509275694	22323147	202	1652		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/225/DRR225255.sralite.1		RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006081	PRJDB9767			DRS138495	SAMD00222797	simple		Staphylococcus aureus	SAMD00222797							no					JUNTENDO	DRA010120		public	2386F4DC1D86C1548D8F86B5CDD1C2D9	B0CF20A94AB9D60D23F9236CA14C7D63		
SRX13365952	DRR225256	HG001	787579	1280	2020-05-11 5:38:08	2020-05-11 6:12:10	22021677	4448378754	22021677	202	1641		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/225/DRR225256.sralite.1		RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006081	PRJDB9767			DRS138496	SAMD00222798	simple		Staphylococcus aureus	SAMD00222798							no					JUNTENDO	DRA010120		public	D61FC8369C93B42F597072EFC1C68681	73B194F32E785A02A6B1B8F2F3CB64DF		
SRX13365953	DRR225257	HG001	787579	1280	2020-05-11 5:38:08	2020-05-11 6:19:45	23743018	4796089636	23743018	202	1832		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/225/DRR225257.sralite.1		RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2500	DRP006081	PRJDB9767			DRS138497	SAMD00222799	simple		Staphylococcus aureus	SAMD00222799							no					JUNTENDO	DRA010120		public	8142D60914E6BC298911DE50D7E2042C	BD9B58800B6447A3E447214829D5A1EA		
SRX13365954	DRR311221	HG001	787579	1280	2022-07-01 14:24:42	2022-07-01 14:30:56	6575791	1972737300	6575791	300	716		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/DRR000/311/DRR311221/DRR311221.lite.1		RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	DRP008712	PRJDB12070			DRS244719	SAMD00394442	simple		Staphylococcus aureus	SAMD00394442							no					JIKEI	DRA012491		public	2A9C5267704434B7AE75A05C826E9C5A	4CEA4A7B1420640CACCADB0E84ADBAD3		
SRX13376825	DRR311222	SH1000	787900	1280	2022-07-01 14:24:42	2022-07-01 14:30:54	8452651	2535795300	8452651	300	919		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/DRR000/311/DRR311222/DRR311222.lite.1		RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	DRP008712	PRJDB12070			DRS244720	SAMD00394443	simple		Staphylococcus aureus	SAMD00394443							no					JIKEI	DRA012491		public	3B128E3092EB1B23091CCD61B402E5D5	27BF69BE858F0599293E750AABAE558A		
SRX13376826	DRR311223	SH1000	787900	1280	2022-07-01 14:24:42	2022-07-01 14:30:53	7125217	2137565100	7125217	300	769		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/DRR000/311/DRR311223/DRR311223.lite.1		RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	DRP008712	PRJDB12070			DRS244721	SAMD00394444	simple		Staphylococcus aureus	SAMD00394444							no					JIKEI	DRA012491		public	979D74B498AF289B77F255A0EEB60472	B7519A2B36D6FF9F1BFCBE0420052A6E		
